"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/1998","8,154.41","7,899.52","8,160.59","7,896.43","94.27M","3.26%"
"09/22/1998","7,897.20","7,934.28","7,986.80","7,855.75","70.85M","-0.45%"
"09/21/1998","7,933.25","7,889.33","7,945.35","7,711.05","77.72M","0.48%"
"09/18/1998","7,895.65","7,876.35","7,930.67","7,827.94","99.09M","0.28%"
"09/17/1998","7,873.77","8,078.15","8,078.15","7,854.46","71.89M","-2.67%"
"09/16/1998","8,089.78","8,026.13","8,102.92","7,962.85","88.36M","0.81%"
"09/15/1998","8,024.39","7,945.09","8,035.72","7,881.50","72.89M","0.99%"
"09/14/1998","7,945.35","7,796.53","8,039.06","7,796.53","89.75M","1.92%"
"09/11/1998","7,795.50","7,612.18","7,817.39","7,518.99","91.32M","2.36%"
"09/10/1998","7,615.55","7,858.07","7,858.07","7,519.50","101.55M","-3.17%"
"09/09/1998","7,865.02","8,020.78","8,030.57","7,851.89","85.19M","-1.94%"
"09/08/1998","8,020.78","7,645.14","8,033.14","7,645.14","100.54M","4.98%"
"09/04/1998","7,640.25","7,685.05","7,760.75","7,495.81","96.75M","-0.55%"
"09/03/1998","7,682.22","7,781.34","7,781.34","7,578.46","108.28M","-1.29%"
"09/02/1998","7,782.37","7,824.17","7,952.56","7,767.44","95.88M","-0.58%"
"09/01/1998","7,827.42","7,545.76","7,897.97","7,400.30","147.17M","3.82%"
"08/31/1998","7,539.06","8,052.45","8,095.45","7,539.07","117.89M","-6.37%"
"08/28/1998","8,051.68","8,164.18","8,244.52","8,011.52","94.63M","-1.40%"
"08/27/1998","8,165.99","8,518.09","8,518.35","8,164.19","104.25M","-4.19%"
"08/26/1998","8,523.35","8,600.93","8,600.93","8,467.48","67.77M","-0.92%"
"08/25/1998","8,602.65","8,568.41","8,689.42","8,538.54","65.56M","0.42%"
"08/24/1998","8,566.60","8,533.65","8,619.13","8,502.76","61.94M","0.39%"
"08/21/1998","8,533.65","8,607.80","8,608.06","8,328.20","83.41M","-0.90%"
"08/20/1998","8,611.40","8,694.05","8,694.57","8,604.97","60.59M","-0.94%"
"08/19/1998","8,693.28","8,712.70","8,753.78","8,663.41","55.81M","-0.25%"
"08/18/1998","8,714.64","8,572.49","8,730.61","8,568.11","66.32M","1.63%"
"08/17/1998","8,574.84","8,419.96","8,574.85","8,368.62","67.56M","1.78%"
"08/14/1998","8,425.00","8,458.99","8,556.57","8,380.72","83.00M","-0.41%"
"08/13/1998","8,459.50","8,550.70","8,603.43","8,459.50","71.10M","-1.09%"
"08/12/1998","8,552.96","8,462.63","8,564.55","8,460.06","72.30M","1.06%"
"08/11/1998","8,462.84","8,570.84","8,570.84","8,316.87","90.96M","-1.31%"
"08/10/1998","8,574.84","8,596.73","8,635.35","8,543.18","59.29M","-0.27%"
"08/07/1998","8,598.02","8,579.22","8,710.02","8,552.96","80.62M","0.24%"
"08/06/1998","8,577.67","8,546.13","8,593.38","8,486.02","77.09M","0.36%"
"08/05/1998","8,546.78","8,486.02","8,574.85","8,361.92","98.76M","0.70%"
"08/04/1998","8,487.31","8,788.80","8,857.03","8,487.31","96.98M","-3.41%"
"08/03/1998","8,786.73","8,883.29","8,886.12","8,785.97","65.83M","-1.09%"
"07/31/1998","8,883.29","9,026.95","9,030.04","8,828.19","75.42M","-1.59%"
"07/30/1998","9,026.95","8,913.41","9,041.37","8,913.41","73.50M","1.26%"
"07/29/1998","8,914.95","8,935.81","9,001.21","8,880.71","66.51M","-0.22%"
"07/28/1998","8,934.78","9,028.50","9,028.50","8,816.09","77.50M","-1.04%"
"07/27/1998","9,028.24","8,937.36","9,028.24","8,855.74","73.13M","1.02%"
"07/24/1998","8,937.35","8,934.52","8,998.38","8,863.21","83.96M","0.05%"
"07/23/1998","8,932.97","9,130.46","9,156.46","8,932.98","94.41M","-2.15%"
"07/22/1998","9,128.91","9,185.71","9,186.37","9,075.10","90.78M","-0.67%"
"07/21/1998","9,190.18","9,296.26","9,344.67","9,173.97","75.25M","-1.14%"
"07/20/1998","9,295.74","9,340.55","9,367.84","9,264.59","58.49M","-0.45%"
"07/17/1998","9,337.97","9,328.19","9,354.71","9,310.17","56.87M","0.10%"
"07/16/1998","9,328.18","9,233.23","9,332.31","9,206.15","63.19M","1.01%"
"07/15/1998","9,234.47","9,246.57","9,305.53","9,228.03","75.86M","-0.12%"
"07/14/1998","9,245.54","9,100.07","9,256.61","9,098.53","61.49M","1.64%"
"07/13/1998","9,096.21","9,107.03","9,132.77","9,073.30","57.05M","-0.10%"
"07/10/1998","9,105.73","9,090.81","9,135.60","9,029.79","67.28M","0.18%"
"07/09/1998","9,089.77","9,174.97","9,174.97","9,065.61","65.78M","-0.93%"
"07/08/1998","9,174.96","9,086.29","9,184.44","9,084.30","59.98M","0.99%"
